questionKey,examId,examKind,examTitle,examShortLabel,category,series,questionNumber,sectionTitle,sectionMaterialText,promptRaw,promptDisplay,answerText,answerType,choiceOptionsText,uiMode,questionFormat,hasBlank,hasUnderline,promptMissing,requiresImageReference,imageReferences,questionImage,surfaceMode,sourceFormat,sourceFile,answerKeyFile,parseStatus,parseIssues
phonics-phonics-monster-1-final-test-pdf::Q11,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,11,Choose the pictures with the same beginning letters.,,,,3,multiple_choice_numeric,1 | 2 | 3,image_choice,선택형/image_choice/Choose the pictures with the same beginning letters.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q11.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q12,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,12,Choose the pictures with the same beginning sounds.,,,,1,multiple_choice_numeric,1 | 2,image_choice,선택형/image_choice/Choose the pictures with the same beginning sounds.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q12.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q13,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,13,Choose the pictures with the same beginning sounds.,,,,2,multiple_choice_numeric,1 | 2,image_choice,선택형/image_choice/Choose the pictures with the same beginning sounds.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q13.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q14,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,14,Choose the pictures with the same beginning sounds.,,,,1,multiple_choice_numeric,1 | 2,image_choice,선택형/image_choice/Choose the pictures with the same beginning sounds.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q14.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q15,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,15,Choose the correct pairs with the beginning letters and pictures.,,,,3,multiple_choice_numeric,1 | 2 | 3,image_choice,선택형/image_choice/Choose the correct pairs with the beginning letters and pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q15.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q16,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,16,Choose the correct pairs with the beginning letters and pictures.,,,,1,multiple_choice_numeric,1 | 2 | 3,image_choice,선택형/image_choice/Choose the correct pairs with the beginning letters and pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q16.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q17,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,17,Choose the correct pairs with the beginning letters and pictures.,,,,3,multiple_choice_numeric,1 | 2 | 3,image_choice,선택형/image_choice/Choose the correct pairs with the beginning letters and pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q17.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q18,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,18,Choose the correct pairs with the beginning letters and pictures.,,,,2,multiple_choice_numeric,1 | 2 | 3,image_choice,선택형/image_choice/Choose the correct pairs with the beginning letters and pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q18.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q19,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,19,Look and write the beginning letters.,"h
r
b
j
n
d
e
s",___ook,___ook,b,short_text,,image_write,서답형/빈칸/image_write/Look and write the beginning letters.,True,True,False,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q19.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q20,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,20,Look and write the beginning letters.,"h
r
b
j
n
d
e
s",___at,___at,h,short_text,,image_write,서답형/빈칸/image_write/Look and write the beginning letters.,True,True,False,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q20.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q21,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,21,Look and write the beginning letters.,"h
r
b
j
n
d
e
s",___esk,___esk,d,short_text,,image_write,서답형/빈칸/image_write/Look and write the beginning letters.,True,True,False,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q21.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q22,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,22,Look and write the beginning letters.,"h
r
b
j
n
d
e
s",___ock,___ock,s,short_text,,image_write,서답형/빈칸/image_write/Look and write the beginning letters.,True,True,False,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q22.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q23,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,23,Look and write the beginning letters.,"h
r
b
j
n
d
e
s",___lbow,___lbow,e,short_text,,image_write,서답형/빈칸/image_write/Look and write the beginning letters.,True,True,False,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q23.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q24,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,24,Look and write the beginning letters.,"h
r
b
j
n
d
e
s",___ero,___ero,z,short_text,,image_write,서답형/빈칸/image_write/Look and write the beginning letters.,True,True,False,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q24.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-1-final-test-pdf::Q25,phonics-phonics-monster-1-final-test-pdf,final,Phonics Monster 1 Final Test,Phonics / Phonics Monster 1 Fin...,Phonics,Phonics,25,Look and write the beginning letters.,"h
r
b
j
n
d
e
s",___ow,___ow,c,short_text,,image_write,서답형/빈칸/image_write/Look and write the beginning letters.,True,True,False,True,assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-1-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-1-final-test-pdf/q25.png,question_crop,pdf,Phonics/Phonics Monster 1_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q1,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,1,Choose the ending letters of the pictures.,,,,-um,multiple_choice_word,-um | -un | -am,image_choice,선택형/image_choice/Choose the ending letters of the pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q01.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q2,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,2,Choose the ending letters of the pictures.,,,,-ig,multiple_choice_word,-ag | -ig | -en,image_choice,선택형/image_choice/Choose the ending letters of the pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q02.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q3,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,3,Choose the ending letters of the pictures.,,,,-ox,multiple_choice_word,-ot | -ix | -ox,image_choice,선택형/image_choice/Choose the ending letters of the pictures.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q03.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q4,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,4,Look and choose.,,,,leg,multiple_choice_word,leg | lip | lid,image_choice,선택형/image_choice/Look and choose.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q04.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q5,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,5,Look and choose.,,,,run,multiple_choice_word,rip | run | rug,image_choice,선택형/image_choice/Look and choose.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q05.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q6,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,6,Look and choose.,,,,bag,multiple_choice_word,bag | bad | big,image_choice,선택형/image_choice/Look and choose.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q06.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q7,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,7,Choose the pictures with the same ending sounds.,,,,"2, 3",multiple_choice_multi_numeric,1 | 2 | 3 | 4,image_choice,복수선택/image_choice/Choose the pictures with the same ending sounds.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q07.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q8,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,8,Choose the pictures with the same ending sounds.,,,,"1, 4",multiple_choice_multi_numeric,1 | 2 | 3 | 4,image_choice,복수선택/image_choice/Choose the pictures with the same ending sounds.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q08.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q9,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,9,Choose the pictures with the same ending sounds.,,,,"2, 3",multiple_choice_multi_numeric,1 | 2 | 3 | 4,image_choice,복수선택/image_choice/Choose the pictures with the same ending sounds.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q09.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
phonics-phonics-monster-2-final-test-pdf::Q10,phonics-phonics-monster-2-final-test-pdf,final,Phonics Monster 2 Final Test,Phonics / Phonics Monster 2 Fin...,Phonics,Phonics,10,Choose the pictures with the same ending sounds.,,,,"1, 3",multiple_choice_multi_numeric,1 | 2 | 3 | 4,image_choice,복수선택/image_choice/Choose the pictures with the same ending sounds.,False,False,True,True,assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-1.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-2.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-3.png | assets/exam-previews/phonics-phonics-monster-2-final-test-pdf/page-4.png,assets/question-crops/phonics-phonics-monster-2-final-test-pdf/q10.png,question_crop,pdf,Phonics/Phonics Monster 2_Final Test.pdf,,good,
